parent	child
Cystic Tumor of the Pancreas (PACT)	Intraductal Papillary Mucinous Neoplasm (IPMN)
Cancer of Unknown Primary (CUP)	Small Cell Carcinoma of Unknown Primary (SCUP)
Cancer of Unknown Primary (CUP)	Squamous Cell Carcinoma, NOS (SCCNOS)
Invasive Breast Carcinoma (BRCA)	Breast Carcinoma with Signet Ring (BRSRCC)
Germ Cell Tumor, Brain (BGCT)	Yolk Sac Tumor (BYST)
Embryonal Tumor (EMBT)	Neuroblastoma (NBL)
Head and Neck Squamous Cell Carcinoma (HNSC)	Larynx Squamous Cell Carcinoma (LXSC)
B-Cell Lymphoma (BCL)	Marginal Zone Lymphoma (MZL)
Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumor of the Rectum (RWDNET)
Endometrial Carcinoma (UCEC)	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor (UCS)
Chondrosarcoma (CHS)	Extraskeletal Myxoid Chondrosarcoma (EMCHS)
Ovarian Epithelial Tumor (OVT)	Brenner Tumor (BTOV)
Cholangiocarcinoma (CHOL)	Perihilar Cholangiocarcinoma (PHCH)
Mucinous Carcinoma (CEMU)	Signet Ring Mucinous Carcinoma (SCEMU)
Melanoma (MEL)	Acral Melanoma (ACRM)
Osteosarcoma (OS)	Chondroblastic Osteosarcoma (CHOS)
B-Cell Lymphoma (BCL)	Mantle Cell Lymphoma (MCL)
B-Cell Lymphoma (BCL)	Waldenstrom Macroglobulinemia (WM)
Cervical Adenocarcinoma (CEAD)	Mucinous Carcinoma (CEMU)
Encapsulated Glioma (ENCG)	Dysembryoplastic Neuroepithelial Tumor (DNT)
Germ Cell Tumor, Brain (BGCT)	Choriocarcinoma (BCCA)
Penile Squamous Cell Carcinoma (PSCC)	Warty Penile Squamous Cell Carcinoma (WPSCC)
Head and Neck Squamous Cell Carcinoma (HNSC)	Head and Neck Squamous Cell Carcinoma of Unknown Primary (HNSCUP)
Miscellaneous Neuroepithelial Tumor (MNET)	Astroblastoma (ASTB)
Cancer of Unknown Primary (CUP)	Acinar Cell Carcinoma, NOS (ACN)
Large Cell Lung Carcinoma (LCLC)	Giant Cell Carcinoma of the Lung (GCLC)
Cervical Adenocarcinoma (CEAD)	Endocervical Adenocarcinoma (ECAD)
Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Epithelioid Type (PLEMESO)
B-Cell Lymphoma (BCL)	Primary CNS Lymphoma (PCNSL)
Well-Differentiated Thyroid Cancer (WDTC)	Papillary Thyroid Cancer (THPA)
Mixed Type Metaplastic Breast Cancer (MMBC)	Carcinoma with Osseous Metaplasia (COM)
Miscellaneous Neuroepithelial Tumor (MNET)	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle (RGNT)
Invasive Breast Carcinoma (BRCA)	Adenoid Cystic Breast Cancer (ACBC)
Rhabdomyosarcoma (RMS)	Spindle Cell Rhabdomyosarcoma (SCRMS)
Germ Cell Tumor, Brain (BGCT)	Immature Teratoma (BIMT)
Diffuse Glioma (DIFG)	Anaplastic Oligodendroglioma (AODG)
Ovarian Epithelial Tumor (OVT)	Mucinous Borderline Ovarian Tumor (MBOV)
Serous Ovarian Cancer (SOC)	High-Grade Serous Ovarian Cancer (HGSOC)
Miscellaneous Brain Tumor (MBT)	Malignant Tumor (MT)
Gastrointestinal Neuroendocrine Tumors (GINET)	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum (HGNEC)
Stomach Adenocarcinoma (STAD)	Tubular Stomach Adenocarcinoma (TSTAD)
Invasive Breast Carcinoma (BRCA)	Breast Mixed Ductal and Lobular Carcinoma (MDLC)
Colorectal Adenocarcinoma (COADREAD)	Colon Adenocarcinoma (COAD)
Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Adenocarcinoma with Spindle Cell Differentiation (MASCC)
Esophagogastric Adenocarcinoma (EGC)	Adenocarcinoma of the Gastroesophageal Junction (GEJ)
Encapsulated Glioma (ENCG)	Pilocytic Astrocytoma (PAST)
Head and Neck Squamous Cell Carcinoma (HNSC)	Sinonasal Squamous Cell Carcinoma (SNSC)
Head and Neck Carcinoma, Other (OHNCA)	NUT Midline Carcinoma of the Head and Neck (NMCHN)
Encapsulated Glioma (ENCG)	Pilomyxoid Astrocytoma (PMA)
Miscellaneous Brain Tumor (MBT)	Low-Grade Neuroepithelial Tumor (LGNET)
Breast Sarcoma (PBS)	Breast Angiosarcoma (BA)
Leukemia (LEUK)	Acute Monocytic Leukemia (AMOL)
Well-Differentiated Thyroid Cancer (WDTC)	Follicular Thyroid Cancer (THFO)
Leukemia (LEUK)	Chronic Myelomonocytic Leukemia (CMML)
Uterine Smooth Muscle Tumor (USMT)	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential (USTUMP)
Ovarian Epithelial Tumor (OVT)	Endometrioid Borderlin Ovarian Tumor (EBOV)
Cervical Adenocarcinoma (CEAD)	Endometrioid Carcinoma (CEEN)
Cervical Adenocarcinoma (CEAD)	Villoglandular Carcinoma (CEVG)
Molar Pregnancy (MP)	Partial Hydatidiform Mole (PHM)
Ependymomal Tumor (EPMT)	Clear Cell Ependymoma (CCE)
Ovarian Germ Cell Tumor (OGCT)	Mature Teratoma (OMT)
Encapsulated Glioma (ENCG)	Gangliocytoma (GNC)
Endometrial Carcinoma (UCEC)	Poorly Differentiated Carcinoma of the Uterus (UPDC)
Meningothelial Tumor (MNGT)	Hemangiopericytoma of the Central Nervous System (HPCCNS)
Endometrial Carcinoma (UCEC)	Uterine Mesonephric Carcinoma (UMNC)
Epithelioid Sarcoma (EPIS)	Proximal-Type Epithelioid Sarcoma (PTES)
